"zone","state","lga","sector","ea","hhid","death_num","s15bq3","s15bq4","s15bq5a","s15bq5b","s15bq5c","s15bq6","s15bq6b","tracked_obs"
4,1,106,2,880,10029,1,1,0,,,,1,,0
4,1,111,1,1146,10037,1,2,44,15,3,12,6,"CHILD DELIVERY",0
4,1,110,2,76,10086,1,1,66,12,12,11,1,,0
4,1,108,2,904,10101,1,1,85,15,9,12,1,,0
4,1,108,2,904,10107,1,2,71,23,2,13,1,,0
2,2,209,2,1040,20006,1,1,0,28,11,12,1,,0
2,2,209,2,1040,20008,1,1,7,8,11,12,1,,0
2,2,221,2,18,20018,1,2,1,18,10,12,1,,0
2,2,216,2,200,20034,1,2,22,12,9,12,6,"DURING GIVEN BIRTH",0
2,2,203,2,1224,20045,1,2,48,18,10,12,1,,0
2,2,207,2,1302,20091,1,1,1,17,2,13,1,,0
2,2,207,2,1302,20093,1,2,25,26,12,12,1,,0
2,2,205,2,712,20107,1,2,0,3,1,13,1,,0
5,3,307,1,634,30046,1,2,6,20,4,12,1,,0
5,3,307,1,634,30047,1,1,62,7,9,12,5,,0
5,3,321,2,364,30052,1,2,18,12,8,12,1,,0
5,3,321,2,364,30057,1,2,9,16,8,12,1,,0
5,3,329,2,696,30062,1,2,56,23,7,12,5,,0
5,3,329,2,696,30067,1,1,67,31,3,12,1,,0
5,3,313,2,70,30097,1,1,73,6,7,12,1,,0
5,3,301,1,1198,30102,1,2,4,20,8,12,5,,0
5,3,326,2,74,30117,1,1,50,25,3,12,1,,0
5,3,305,2,1542,30130,1,1,32,30,12,12,2,,0
5,3,305,2,4,30141,1,1,42,26,2,12,1,,0
5,3,305,2,4,30142,1,2,0,16,12,12,1,,0
5,3,305,2,4,30145,1,2,,8,12,12,1,,0
4,4,417,1,678,40017,1,2,24,15,7,12,1,,0
4,4,417,1,678,40018,1,1,65,29,1,13,1,,0
4,4,415,2,0,40044,1,1,68,0,4,1,1,,1
4,4,405,2,722,40064,1,1,85,10,10,12,1,,0
4,4,405,2,484,40079,1,2,70,23,7,12,1,,0
4,4,419,2,296,40082,1,1,46,21,2,13,1,,0
4,4,419,2,296,40083,1,2,52,13,6,12,1,,0
4,4,410,2,4036,40124,1,2,70,28,1,13,1,,0
4,4,407,2,796,40132,1,1,50,20,7,12,1,,0
4,4,410,1,3192,40144,1,1,21,26,6,12,2,,0
4,4,410,1,3414,40158,1,1,23,26,11,12,1,,0
4,4,421,1,800,40172,1,2,36,4,4,12,1,,0
4,4,402,2,1080,40202,1,2,92,15,3,12,1,,0
4,4,402,2,1080,40209,1,1,87,99,10,12,1,,0
2,5,502,1,2194,50012,1,2,14,,5,12,1,,0
2,5,502,1,2194,50016,1,1,12,15,4,12,1,,0
2,5,502,1,2194,50018,1,1,,13,3,12,1,,0
2,5,515,2,18,50029,1,2,40,20,3,12,1,,0
2,5,502,2,3878,50039,1,1,2,,,,1,,0
2,5,504,2,708,50047,1,2,7,12,2,13,1,,0
2,5,504,2,708,50048,1,1,6,10,11,12,1,,0
2,5,513,2,348,50055,1,2,4,20,10,12,1,,0
2,5,513,2,348,50056,1,1,5,10,10,12,1,,0
2,5,513,2,348,50058,1,1,2,99,10,12,,,0
2,5,513,2,348,50059,1,2,80,,8,12,1,,0
2,5,501,2,60,50074,1,1,4,,4,11,1,,0
2,5,501,2,60,50077,1,2,,,1,13,1,,0
2,5,516,2,942,50084,1,2,7,24,9,12,1,,0
2,5,516,2,942,50086,1,2,6,28,11,12,1,,0
2,5,516,2,942,50090,1,2,14,13,10,12,1,,0
2,5,508,2,984,50092,1,2,1,,4,12,1,,0
2,5,508,2,718,50113,1,1,3,22,11,12,1,,0
2,5,508,2,718,50120,1,1,82,,7,12,1,,0
2,5,510,1,872,50126,1,1,61,10,11,12,1,,0
2,5,518,2,1588,50132,1,2,20,0,4,11,1,,0
2,5,518,2,1588,50132,2,1,7,0,4,11,1,,0
2,5,510,2,1516,50141,1,1,9,10,8,12,1,,0
2,5,518,2,1304,50152,1,1,1,3,4,2,1,,0
2,5,518,2,1304,50157,1,1,2,6,12,12,1,,0
2,5,518,2,1304,50159,1,1,3,0,7,13,1,,0
5,6,602,2,1356,60007,1,1,3,27,3,13,1,,3
5,6,608,1,3978,60028,1,1,15,3,1,13,1,,0
5,6,605,2,162,60054,1,1,44,29,6,12,1,,0
5,6,605,2,0,60060,1,1,60,27,5,13,1,,1
5,6,608,2,748,60064,1,1,75,1,11,12,1,,0
1,7,709,2,1226,70075,1,1,70,3,9,12,1,,0
1,7,719,1,1612,70081,1,1,46,4,1,13,1,,0
1,7,718,2,1640,70129,1,1,45,2,5,2,1,,0
1,7,713,2,304,70152,1,2,62,16,10,12,1,,0
1,7,713,2,304,70156,1,2,7,16,11,12,1,,0
2,8,821,1,5062,80023,1,1,60,15,5,12,1,,0
2,8,816,2,1270,80038,1,1,52,1,7,11,1,,0
2,8,816,2,1270,80040,1,1,13,20,8,12,1,,0
2,8,803,1,944,80048,1,2,42,0,9,12,1,,0
2,8,802,2,1152,80075,1,1,28,11,1,13,3,,0
2,8,802,2,1152,80076,1,2,25,9,9,12,1,,0
2,8,812,2,866,80083,1,1,22,15,9,12,1,,0
2,8,805,2,46,80096,1,1,58,20,9,12,1,,0
2,8,827,2,804,80104,1,1,22,4,7,12,1,,0
2,8,827,2,804,80105,1,1,5,0,0,11,1,,0
2,8,827,2,804,80105,2,1,3,0,0,12,1,,0
2,8,827,2,804,80110,1,1,48,18,8,11,1,,0
2,8,807,2,946,80119,1,2,30,20,8,11,1,,0
2,8,807,2,2396,80122,1,2,15,12,7,11,1,,0
2,8,820,2,1030,80146,1,1,64,8,4,12,1,,0
2,8,820,2,1030,80149,1,1,3,12,9,11,1,,0
2,8,823,2,548,80174,1,1,61,15,6,11,1,,0
2,8,809,2,1748,80186,1,1,8,18,8,11,1,,0
2,8,809,2,1748,80189,1,1,62,21,7,11,1,,0
2,8,826,2,926,80194,1,2,10,12,3,11,1,,0
2,8,826,2,926,80195,1,1,5,11,8,11,1,,0
2,8,815,2,362,80204,1,1,19,0,8,12,1,,0
2,8,815,2,362,80210,1,2,52,14,8,11,1,,0
5,9,915,1,1390,90021,1,1,52,15,12,12,1,,0
5,9,915,1,1390,90021,2,2,52,12,6,12,1,,0
5,9,917,1,1254,90035,1,1,12,14,4,12,1,,0
5,9,907,2,1446,90064,1,1,57,16,3,13,1,,0
5,9,912,2,102,90079,1,2,57,27,5,12,1,,0
5,9,912,2,102,90079,2,1,74,18,11,11,1,,0
5,9,916,2,1068,90083,1,2,9,3,11,12,1,,0
5,9,918,2,834,90094,1,1,45,4,8,12,1,,0
5,9,913,2,2266,90124,1,1,7,21,11,12,1,,0
5,10,1001,2,172,100018,1,2,62,11,8,12,1,,0
5,10,1007,1,1166,100021,1,1,7,22,1,13,1,,0
5,10,1010,2,20,100078,1,1,0,2,3,1,6,"STILL BIRTH",0
5,10,1005,2,1374,100085,1,1,10,22,12,12,1,,0
5,10,1005,2,1374,100086,1,1,28,8,1,12,1,"DEATH",0
5,10,1018,2,898,100102,1,2,2,12,12,12,1,"DEATH OF FRIEND,s.CH",0
4,11,1104,1,2028,110008,1,1,49,20,6,11,1,,0
4,11,1112,2,1952,110013,1,1,8,15,12,12,1,,0
4,11,1112,2,1952,110018,1,2,29,14,2,13,1,,0
4,11,1112,2,1952,110018,2,1,3,10,12,12,1,,0
4,11,1105,2,100,110067,1,1,71,8,1,13,1,,0
4,11,1107,2,1034,110093,1,1,2,30,12,12,1,,0
4,11,1107,2,1034,110098,1,1,50,28,12,12,1,,0
4,11,1109,2,672,110104,1,1,79,4,1,13,1,,0
4,11,1109,2,672,110106,1,1,79,4,1,13,1,,0
4,11,1109,2,672,110108,1,1,30,5,5,12,3,,0
4,11,1113,2,954,110115,1,1,77,10,12,11,1,,0
4,11,1113,2,954,110116,1,1,62,11,7,12,1,,0
4,11,1102,2,936,110125,1,2,33,19,1,13,1,,0
5,12,1212,1,0,120031,1,2,34,5,3,12,6,"child birth",1
5,12,1210,2,462,120065,1,2,68,19,12,12,1,,0
5,12,1204,2,736,120071,1,2,72,1,8,12,1,,0
4,14,1401,2,1116,140001,1,1,78,11,2,13,1,,0
4,14,1408,2,1996,140021,1,1,95,20,7,12,1,,0
4,14,1408,2,1996,140028,1,1,32,6,3,13,1,,0
4,14,1408,2,1996,140028,2,1,65,28,4,12,1,,0
4,14,1408,2,1996,140029,1,2,32,6,3,13,1,,0
4,14,1413,1,2578,140039,1,1,75,19,8,12,1,,0
4,14,1415,2,952,140044,1,1,85,25,12,12,1,,0
4,14,1406,2,694,140067,1,1,80,21,6,12,1,,0
4,14,1410,2,236,140086,1,1,80,2,12,12,1,,0
4,14,1411,2,1066,140120,1,2,68,20,4,12,1,,0
4,14,1416,2,2314,140128,1,1,36,18,8,12,3,,0
4,14,1415,2,156,140139,1,2,45,20,11,12,1,,0
2,15,1506,1,398,150004,1,2,1,5,1,1,3,,0
2,15,1508,2,1682,150011,1,1,48,1,8,13,1,,0
2,15,1511,2,1938,150021,1,1,2,20,11,12,1,,0
2,15,1511,2,1938,150025,1,1,3,24,6,12,1,,0
2,15,1502,2,590,150032,1,1,1,25,3,11,1,,0
2,15,1502,2,590,150032,2,1,1,8,9,11,1,,0
2,15,1510,2,616,150041,1,2,18,22,12,12,1,,0
2,15,1507,2,458,150058,1,1,50,28,12,12,1,,0
4,16,1626,2,1546,160002,1,1,64,3,3,13,1,,0
4,16,1626,2,1546,160009,1,2,90,2,3,12,1,,0
4,16,1624,1,136,160019,1,1,87,5,8,12,1,,0
4,16,1624,1,136,160024,1,1,89,23,11,12,1,,0
4,16,1624,1,286,160028,1,1,50,7,5,12,1,,0
4,16,1613,2,440,160058,1,2,79,12,12,12,1,,0
4,16,1616,2,296,160064,1,1,70,23,3,12,6,"HEART ATTACK",0
4,16,1620,2,106,160075,1,2,84,15,2,13,1,,0
4,16,1618,2,1060,160084,1,1,64,14,6,12,5,,0
4,16,1606,2,590,160101,1,1,77,1,1,12,6,"HEART ATTACT",0
4,16,1610,2,1006,160114,1,1,51,26,2,12,1,,0
4,16,1609,2,738,160158,1,2,46,9,9,12,5,,0
4,16,1609,2,738,160159,1,1,17,12,7,12,2,,0
4,16,1612,2,108,160182,1,2,,25,5,12,1,,0
4,16,1612,2,108,160182,2,1,,25,5,12,1,,0
3,17,1706,2,284,170006,1,1,70,10,9,12,1,,0
3,17,1706,2,284,170006,2,2,60,7,1,12,1,,0
3,17,1719,2,1354,170015,1,1,13,99,99,12,1,,0
3,17,1719,2,1354,170019,1,1,65,22,7,12,1,,0
3,17,1704,2,1080,170027,1,2,33,3,10,12,1,,0
3,17,1722,2,96,170050,1,1,70,10,2,12,1,,0
3,17,1715,2,2244,170052,1,1,80,14,12,12,1,,0
3,17,1715,2,2244,170054,1,1,7,20,11,12,1,,0
3,17,1715,2,2244,170055,1,1,1,3,12,12,1,,0
3,17,1702,2,510,170094,1,2,0,1,11,12,1,,0
3,17,1702,2,510,170095,1,2,3,14,2,13,1,,0
3,17,1727,2,634,170101,1,1,4,15,12,12,1,,0
3,17,1727,2,634,170102,1,1,5,5,5,12,1,,0
3,17,1727,2,634,170106,1,1,5,99,10,12,1,,0
3,17,1727,2,634,170110,1,2,8,15,12,12,1,,0
3,17,1712,2,794,170111,1,2,4,20,12,12,1,,0
3,17,1712,2,794,170111,2,2,3,28,11,12,1,,0
3,17,1712,2,794,170111,3,1,6,15,12,12,1,,0
3,17,1712,2,794,170112,1,2,14,99,10,12,1,,0
3,17,1724,2,786,170124,1,1,72,12,12,12,1,,0
3,18,1809,1,1272,180018,1,2,65,1,8,12,1,,0
3,18,1803,2,840,180032,1,2,40,20,1,12,1,,0
3,18,1817,2,370,180061,1,1,1,6,9,12,1,,0
3,18,1817,2,370,180070,1,2,5,30,7,12,1,,0
3,18,1820,2,450,180095,1,1,92,20,3,13,1,,0
3,19,1943,2,668,190029,1,2,8,6,1,2,1,,0
3,19,1916,2,1516,190036,1,2,1,1,1,1,1,,0
3,19,1901,2,640,190047,1,2,85,8,1,2,1,,0
3,19,1937,2,432,190060,1,2,5,18,9,23,1,,0
3,19,1902,2,52,190076,1,1,45,1,1,12,1,,0
3,19,1914,2,934,190086,1,1,3,8,1,2,1,,0
3,19,1914,2,934,190087,1,1,14,10,1,2,1,,0
3,19,1941,2,518,190091,1,2,80,10,1,13,1,,0
3,19,1925,1,2858,190110,1,1,5,10,2,12,1,,0
3,19,1910,2,808,190137,1,1,45,10,6,12,1,,0
3,19,1908,2,284,190150,1,2,2,99,10,12,1,,0
3,19,1928,2,526,190179,1,2,2,10,10,12,1,,0
3,20,2021,1,3300,200008,1,1,18,28,9,12,1,,0
3,20,2021,1,3300,200010,1,1,13,1,7,12,1,,0
3,20,2030,2,1050,200041,1,1,10,25,12,12,1,,0
3,20,2032,2,1772,200065,1,1,4,10,7,12,1,,0
3,20,2032,2,1772,200067,1,1,3,27,12,12,1,,0
3,20,2022,2,1130,200087,1,2,13,15,12,12,1,,0
3,20,2022,2,1130,200090,1,1,11,3,1,13,1,,0
3,20,2025,2,760,200107,1,2,97,15,8,12,5,,0
3,20,2019,2,344,200125,1,2,4,10,2,13,1,,0
3,20,2019,2,344,200126,1,1,24,17,11,12,2,,0
3,20,2009,2,240,200133,1,1,50,14,11,12,1,,0
3,20,2009,2,240,200139,1,2,2,14,12,12,1,,0
3,20,2009,2,240,200139,2,2,2,19,1,13,1,,0
3,20,2008,2,1474,200144,1,2,46,3,10,12,5,,0
3,20,2013,2,1232,200151,1,2,14,19,1,13,1,,0
3,20,2013,2,1232,200157,1,1,3,8,12,13,1,,0
3,20,2013,2,1232,200157,2,2,6,6,11,12,1,,0
3,20,2013,2,1232,200159,1,2,8,17,10,12,5,,0
3,21,2106,2,2822,210007,1,1,55,0,0,0,1,,0
3,21,2106,2,236,210016,1,2,16,9,9,9,1,,0
3,21,2109,2,38,210021,1,2,15,19,2,13,1,,0
3,21,2119,2,3956,210032,1,2,58,18,12,12,1,,0
3,21,2119,2,2146,210048,1,1,6,4,11,12,1,,0
3,21,2119,2,2146,210049,1,1,4,15,11,12,1,,0
3,21,2115,2,926,210051,1,1,65,2,1,11,1,,0
3,21,2117,2,554,210069,1,2,84,20,1,13,1,,0
3,21,2108,1,520,210073,1,1,3,20,12,12,1,,0
3,21,2108,1,520,210075,1,1,80,4,10,12,1,,0
3,21,2108,1,520,210075,2,2,2,26,12,12,1,,0
3,21,2102,2,1124,210082,1,2,38,19,12,12,1,,0
3,21,2102,2,1124,210088,1,2,9,10,10,12,1,,0
3,21,2102,2,1124,210088,2,2,65,12,12,11,1,,0
3,21,2111,2,180,210099,1,2,3,1,2,0,1,,0
3,21,2111,2,180,210100,1,2,3,0,4,0,1,,0
1,22,2214,2,1354,220085,1,1,86,13,10,12,2,,0
1,22,2214,2,1354,220090,1,1,42,10,10,12,1,,0
1,22,2218,2,596,220092,1,2,60,23,3,13,6,"FELL AND  DIED",0
1,22,2218,2,596,220094,1,1,38,26,10,12,1,,0
1,22,2203,2,530,220103,1,1,28,19,11,12,1,,0
1,23,2306,1,970,230031,1,1,62,6,7,12,1,,0
1,23,2315,2,924,230053,1,1,78,27,1,13,1,,0
1,23,2309,2,998,230068,1,1,52,15,8,12,1,,0
1,23,2304,2,322,230079,1,2,20,28,4,12,1,,0
6,24,2403,1,674,240034,1,2,82,20,3,10,1,,0
6,24,2412,1,2798,240096,1,2,40,4,2,12,1,,0
6,24,2417,1,924,240137,1,2,0,27,10,12,1,,0
6,24,2407,2,396,240161,1,2,12,1,12,12,1,,0
1,25,2504,2,222,250019,1,2,7,12,5,12,2,,0
1,25,2509,2,248,250028,1,2,40,0,2,13,1,,0
1,25,2507,2,814,250033,1,1,18,99,99,12,1,,0
1,25,2507,2,814,250033,2,1,40,99,99,12,1,,0
1,25,2507,2,814,250040,1,2,75,16,2,13,1,,0
1,25,2507,2,814,250040,2,1,80,99,8,12,1,,0
3,33,3304,2,0,250069,1,2,16,6,7,12,1,,1
1,26,2606,1,516,260007,1,1,15,4,11,12,1,,0
1,26,2623,2,1688,260017,1,1,10,21,7,12,1,,0
1,26,2618,2,1276,260021,1,1,29,15,11,12,1,,0
1,26,2618,2,1276,260022,1,1,22,15,12,12,1,,0
1,26,2618,2,1276,260027,1,1,53,12,11,11,2,,0
1,26,2618,2,494,260031,1,2,22,8,2,13,1,,0
1,26,2618,2,494,260039,1,1,48,15,1,13,1,,0
1,26,2615,2,2178,260062,1,1,70,20,6,12,1,,0
1,26,2603,1,1786,260102,1,1,50,20,5,12,1,,0
1,26,2603,1,1786,260104,1,1,48,15,6,12,1,,0
1,26,2613,2,2248,260124,1,1,82,2,10,12,1,,0
1,26,2613,2,1462,260152,1,1,15,5,2,12,1,,0
1,26,2613,2,1462,260152,2,1,10,15,8,12,1,,0
6,27,2704,1,0,270014,1,2,70,22,12,12,1,,0
6,27,2701,1,0,270023,1,2,92,6,11,12,1,,1
6,27,2709,1,1646,270038,1,1,73,12,1,13,1,,3
6,27,2709,1,0,270039,1,1,0,13,5,12,1,,0
6,27,2712,2,110,270042,1,1,89,7,7,11,1,,0
6,27,2712,2,110,270047,1,1,2,6,12,11,1,,0
6,27,2711,1,710,270057,1,1,11,2,8,12,6,"GENERATOR SHOCK",0
6,27,2707,1,1410,270079,1,2,58,22,11,12,1,,0
6,27,2703,1,1076,270095,1,1,67,13,11,12,6,"STROKE",0
6,27,2707,1,2136,270102,1,1,73,17,7,12,1,,0
6,28,2806,1,164,280018,1,1,39,12,10,12,6,"ATTACK",0
6,28,2816,1,2302,280021,1,2,44,29,11,12,6,"DELIVERY",0
6,29,2927,1,1124,290012,1,1,90,20,9,12,1,,0
6,29,2927,1,1124,290019,1,1,,,,,1,,0
6,29,2909,2,220,290045,1,1,65,,8,12,1,,0
6,29,2912,1,0,290100,1,2,0,,,13,6,"DEATH AFTER BIRTH",1
6,29,2911,2,1870,290104,1,2,4,4,3,10,2,,0
6,29,2920,1,506,290150,1,1,0,1,11,12,1,,0
6,29,2920,2,1628,290172,1,1,80,11,12,10,1,,0
6,30,3007,1,1624,300014,1,1,82,9,6,11,1,,3
6,30,3018,2,914,300026,1,1,22,15,7,12,1,,0
6,30,3018,2,914,300029,1,2,3,4,3,12,1,,0
6,30,3025,1,2052,300080,1,1,65,17,10,12,1,,0
6,30,3005,1,2942,300093,1,1,75,19,2,13,6,,1
6,30,3002,1,1310,300135,1,1,63,11,5,12,1,,0
6,30,3016,1,390,300164,1,1,76,7,1,13,1,,0
6,30,3016,1,390,300169,1,1,78,14,10,11,5,,0
6,30,3032,1,1088,300204,1,2,3,15,10,11,1,,0
6,30,3004,2,216,300229,1,1,87,27,12,11,5,,0
1,31,3105,1,2914,310004,1,1,,18,2,12,1,,0
1,31,3105,1,2914,310006,1,1,65,1,1,13,1,,0
1,31,3101,2,604,310016,1,1,51,25,2,13,6,"FALL FROM STANDING",0
1,31,3101,2,604,310019,1,2,2,99,9,12,2,,0
1,31,3115,2,680,310026,1,1,36,5,3,77,1,,0
1,31,3107,2,1092,310043,1,2,4,99,11,12,1,,0
1,31,3107,2,1092,310044,1,2,5,99,10,11,1,,0
1,31,3107,1,724,310051,1,2,14,28,9,12,1,,0
1,31,3107,1,724,310058,1,1,6,99,10,12,1,,0
5,32,3222,1,2780,320015,1,,,,,,,,0
5,32,3218,2,296,320030,1,2,53,16,11,12,1,,0
5,32,3223,2,578,320037,1,1,35,0,8,12,1,,0
5,32,3215,1,1896,320069,1,1,2,12,6,9,1,,0
5,32,3208,2,2244,320087,1,1,65,12,1,12,1,,0
5,32,3201,2,2034,320104,1,2,70,10,4,12,1,,0
5,32,3222,1,1624,320107,1,2,0,14,12,12,1,,0
5,32,3201,2,2034,320118,1,1,72,7,1,12,1,,0
5,32,3201,2,2034,320120,1,2,6,12,2,12,1,,0
5,32,3203,2,2644,320126,1,2,22,9,5,12,2,,0
5,32,3203,2,2644,320128,1,1,70,22,2,11,2,,0
5,32,3202,2,84,320139,1,1,82,10,4,12,1,,0
5,32,3202,2,84,320143,1,2,60,5,7,12,1,,0
5,32,3221,2,132,320169,1,1,80,8,1,12,1,,0
5,32,3212,2,314,320205,1,1,90,20,9,12,1,,0
5,32,3212,2,314,320207,1,1,90,20,9,12,1,,0
3,33,3321,1,1182,330002,1,1,0,30,11,12,1,"DIED AT AGE 1 MONTH",0
3,33,3321,1,1182,330007,1,2,5,99,10,12,1,,0
3,33,3310,2,476,330021,1,2,81,3,3,11,5,,0
3,33,3310,2,476,330022,1,2,50,99,10,12,1,,0
3,33,3310,2,476,330024,1,1,2,99,9,12,1,,0
3,33,3310,2,476,330029,1,2,40,26,1,9,1,,0
3,33,3323,2,92,330034,1,1,3,99,99,10,1,,0
3,33,3323,2,92,330035,1,1,2,99,10,12,1,,0
3,33,3323,2,92,330037,1,1,1,6,11,12,1,,0
3,33,3323,2,92,330038,1,1,4,4,1,13,1,,0
3,33,3318,2,30,330044,1,1,5,,,,1,,0
3,33,3318,2,30,330044,2,2,40,,,,1,,0
3,33,3313,2,930,330051,1,1,2,20,2,13,1,,0
3,33,3313,2,930,330053,1,2,60,20,2,12,1,,0
3,33,3313,2,930,330054,1,1,88,99,9,12,1,,0
3,33,3313,2,930,330055,1,1,75,7,8,10,1,,0
3,33,3313,2,930,330059,1,2,4,17,1,12,1,,0
3,33,3304,2,418,330061,1,1,10,11,3,9,1,,0
3,33,3304,2,418,330063,1,2,5,12,9,12,1,,0
3,33,3304,2,418,330064,1,1,2,20,10,12,1,,0
3,33,3304,2,418,330065,1,1,3,14,4,11,1,,0
3,33,3307,2,688,330074,1,2,3,2,11,12,1,,0
2,34,3401,2,526,340006,1,1,,2,10,11,1,,0
2,34,3401,2,526,340006,2,1,,22,9,11,1,,0
2,34,3410,2,42,340043,1,1,11,19,10,12,1,,0
2,34,3403,2,198,340075,1,1,60,2,11,12,5,,0
2,35,3506,2,1040,350041,1,1,3,29,11,12,1,,0
2,35,3511,2,1646,350057,1,2,1,0,0,0,1,,0
2,35,3513,2,576,350065,1,2,4,,,,1,,0
2,35,3501,2,1228,350086,1,1,55,21,11,11,1,,0
2,35,3504,2,1288,350125,1,2,2,1,2,2,1,,0
3,36,3603,2,978,360024,1,1,80,20,11,12,1,,0
3,36,3603,2,978,360025,1,1,80,20,11,12,1,,0
3,36,3610,2,1826,360055,1,2,0,7,7,12,1,,0
3,36,3610,2,1826,360059,1,1,2,12,11,12,1,,0
3,36,3612,1,1474,360073,1,1,0,2,3,12,1,,0
1,37,3702,1,972,370023,1,1,50,30,5,12,1,,0
1,37,3706,2,6,370031,1,2,9,0,9,2,3,"01",0
